NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_012,0.050747442958300554
"Isle of Wight County, Virginia",S1501_C01_012,0.06545903664059284
"James City County, Virginia",S1501_C01_012,0.05377754459601259
"Mathews County, Virginia",S1501_C01_012,0.16878267363704258
"Southampton County, Virginia",S1501_C01_012,0.06958782595396498
"York County, Virginia",S1501_C01_012,0.05533484676503972
"Chesapeake city, Virginia",S1501_C01_012,0.01238087826413012
"Franklin city, Virginia",S1501_C01_012,0.20972858653507226
"Hampton city, Virginia",S1501_C01_012,0.015272833447505251
"Newport News city, Virginia",S1501_C01_012,0.013833974456235553
"Norfolk city, Virginia",S1501_C01_012,0.009838784488453482
"Poquoson city, Virginia",S1501_C01_012,0.257191613846904
"Portsmouth city, Virginia",S1501_C01_012,0.019477927676219368
"Suffolk city, Virginia",S1501_C01_012,0.030071026658057373
"Virginia Beach city, Virginia",S1501_C01_012,0.0074567508450984294
"Williamsburg city, Virginia",S1501_C01_012,0.3804784074490287
