NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,0.08761861034588306
"Isle of Wight County, Virginia",S1501_C01_015,0.10366192707919612
"James City County, Virginia",S1501_C01_015,0.0919976052684095
"Mathews County, Virginia",S1501_C01_015,0.42194092827004215
"Southampton County, Virginia",S1501_C01_015,0.11110277006230763
"York County, Virginia",S1501_C01_015,0.09688357823348942
"Chesapeake city, Virginia",S1501_C01_015,0.01964767836616857
"Franklin city, Virginia",S1501_C01_015,0.3532560214094559
"Hampton city, Virginia",S1501_C01_015,0.026025668234163996
"Newport News city, Virginia",S1501_C01_015,0.021087078258434835
"Norfolk city, Virginia",S1501_C01_015,0.017357579702480235
"Poquoson city, Virginia",S1501_C01_015,0.4280760492646179
"Portsmouth city, Virginia",S1501_C01_015,0.03084076674890871
"Suffolk city, Virginia",S1501_C01_015,0.04624297939441187
"Virginia Beach city, Virginia",S1501_C01_015,0.011369344175501948
"Williamsburg city, Virginia",S1501_C01_015,0.6818181818181819
