NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,23.28934235
"Isle of Wight County, Virginia",S1501_C01_015,27.03823473
"James City County, Virginia",S1501_C01_015,50.39506082
"Mathews County, Virginia",S1501_C01_015,27.87975141
"Southampton County, Virginia",S1501_C01_015,18.40611519
"York County, Virginia",S1501_C01_015,47.05946727
"Chesapeake city, Virginia",S1501_C01_015,33.15780976
"Franklin city, Virginia",S1501_C01_015,19.07323846
"Hampton city, Virginia",S1501_C01_015,26.90017126
"Newport News city, Virginia",S1501_C01_015,26.27551678
"Norfolk city, Virginia",S1501_C01_015,28.82941831
"Poquoson city, Virginia",S1501_C01_015,42.22222222
"Portsmouth city, Virginia",S1501_C01_015,21.89121207
"Suffolk city, Virginia",S1501_C01_015,29.47746507
"Virginia Beach city, Virginia",S1501_C01_015,36.01262298
"Williamsburg city, Virginia",S1501_C01_015,56.75494018
