NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,0.08484381025838797
"Isle of Wight County, Virginia",S1501_C01_015,0.10187774670395525
"James City County, Virginia",S1501_C01_015,0.09381208906003563
"Mathews County, Virginia",S1501_C01_015,0.39420289855072466
"Southampton County, Virginia",S1501_C01_015,0.10244049412473637
"York County, Virginia",S1501_C01_015,0.09729654597261797
"Chesapeake city, Virginia",S1501_C01_015,0.019887327767596552
"Franklin city, Virginia",S1501_C01_015,0.3630595699682764
"Hampton city, Virginia",S1501_C01_015,0.025264434413528263
"Newport News city, Virginia",S1501_C01_015,0.021074536845168287
"Norfolk city, Virginia",S1501_C01_015,0.017319632796401897
"Poquoson city, Virginia",S1501_C01_015,0.4467931779966371
"Portsmouth city, Virginia",S1501_C01_015,0.03092734453061807
"Suffolk city, Virginia",S1501_C01_015,0.047017443112482946
"Virginia Beach city, Virginia",S1501_C01_015,0.011325613097778941
"Williamsburg city, Virginia",S1501_C01_015,0.7124463519313304
