Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2012,"Gloucester County, Virginia",C15002B_006,267,C15002B_011,252,C15002B_001,2459,0.21106140707604717
2012,"Isle of Wight County, Virginia",C15002B_006,366,C15002B_011,453,C15002B_001,5948,0.13769334229993274
2012,"James City County, Virginia",C15002B_006,489,C15002B_011,476,C15002B_001,5844,0.16512662559890487
2012,"Mathews County, Virginia",C15002B_006,21,C15002B_011,21,C15002B_001,711,0.05907172995780591
2012,"Southampton County, Virginia",C15002B_006,155,C15002B_011,243,C15002B_001,4942,0.08053419668150547
2012,"York County, Virginia",C15002B_006,533,C15002B_011,901,C15002B_001,5652,0.2537154989384289
2012,"Chesapeake city, Virginia",C15002B_006,3501,C15002B_011,5906,C15002B_001,41400,0.22722222222222221
2012,"Franklin city, Virginia",C15002B_006,67,C15002B_011,116,C15002B_001,2909,0.0629082158817463
2012,"Hampton city, Virginia",C15002B_006,3441,C15002B_011,5057,C15002B_001,41774,0.20342796955043807
2012,"Newport News city, Virginia",C15002B_006,3036,C15002B_011,4501,C15002B_001,43101,0.1748683325212872
2012,"Norfolk city, Virginia",C15002B_006,2643,C15002B_011,4961,C15002B_001,58614,0.12973009861125329
2012,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,11,C15002B_001,28,0.39285714285714285
2012,"Portsmouth city, Virginia",C15002B_006,1673,C15002B_011,2825,C15002B_001,31323,0.14360054911726208
2012,"Suffolk city, Virginia",C15002B_006,1545,C15002B_011,2513,C15002B_001,22227,0.18257074728933279
2012,"Virginia Beach city, Virginia",C15002B_006,3773,C15002B_011,7047,C15002B_001,50503,0.2142446983347524
2012,"Williamsburg city, Virginia",C15002B_006,113,C15002B_011,96,C15002B_001,1149,0.18189730200174065
