NAME,variable,Male,variable,Female,variable,Total,BlackGeneral
"Gloucester County, Virginia",C15002B_006,198,C15002B_006,290,C15002B_006,2387,0.20444072056975282
"Isle of Wight County, Virginia",C15002B_006,321,C15002B_006,641,C15002B_006,5841,0.16469782571477487
"James City County, Virginia",C15002B_006,741,C15002B_006,912,C15002B_006,6484,0.25493522516964834
"Mathews County, Virginia",C15002B_006,0,C15002B_006,40,C15002B_006,730,0.0547945205479452
"Southampton County, Virginia",C15002B_006,161,C15002B_006,449,C15002B_006,4392,0.1388888888888889
"York County, Virginia",C15002B_006,869,C15002B_006,1118,C15002B_006,5994,0.3314981648314982
"Chesapeake city, Virginia",C15002B_006,4269,C15002B_006,8107,C15002B_006,46471,0.26631662757418606
"Franklin city, Virginia",C15002B_006,202,C15002B_006,328,C15002B_006,3151,0.1682005712472231
"Hampton city, Virginia",C15002B_006,4104,C15002B_006,6969,C15002B_006,43603,0.2539504162557622
"Newport News city, Virginia",C15002B_006,2737,C15002B_006,5213,C15002B_006,45625,0.17424657534246576
"Norfolk city, Virginia",C15002B_006,3868,C15002B_006,5497,C15002B_006,60346,0.15518841348225235
"Poquoson city, Virginia",C15002B_006,8,C15002B_006,20,C15002B_006,110,0.2545454545454545
"Portsmouth city, Virginia",C15002B_006,1941,C15002B_006,3534,C15002B_006,32096,0.17058200398803589
"Suffolk city, Virginia",C15002B_006,1815,C15002B_006,3360,C15002B_006,24013,0.21550826635572398
"Virginia Beach city, Virginia",C15002B_006,5522,C15002B_006,8484,C15002B_006,55248,0.2535114393281205
"Williamsburg city, Virginia",C15002B_006,154,C15002B_006,90,C15002B_006,1121,0.21766280107047278
