Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2016,"Gloucester County, Virginia",C15002B_006,113,C15002B_011,202,C15002B_001,2276,0.13840070298769772
2016,"Isle of Wight County, Virginia",C15002B_006,370,C15002B_011,509,C15002B_001,5877,0.1495661051556917
2016,"James City County, Virginia",C15002B_006,717,C15002B_011,819,C15002B_001,6226,0.24670735624799228
2016,"Mathews County, Virginia",C15002B_006,4,C15002B_011,41,C15002B_001,700,0.06428571428571428
2016,"Southampton County, Virginia",C15002B_006,101,C15002B_011,374,C15002B_001,4815,0.09865005192107996
2016,"York County, Virginia",C15002B_006,768,C15002B_011,955,C15002B_001,5674,0.3036658442016214
2016,"Chesapeake city, Virginia",C15002B_006,3615,C15002B_011,7142,C15002B_001,44725,0.24051425377305757
2016,"Franklin city, Virginia",C15002B_006,226,C15002B_011,266,C15002B_001,3186,0.1544256120527307
2016,"Hampton city, Virginia",C15002B_006,3476,C15002B_011,6206,C15002B_001,43211,0.22406331721089537
2016,"Newport News city, Virginia",C15002B_006,2837,C15002B_011,5211,C15002B_001,44510,0.18081330038193663
2016,"Norfolk city, Virginia",C15002B_006,3487,C15002B_011,5147,C15002B_001,60067,0.1437394909018263
2016,"Poquoson city, Virginia",C15002B_006,8,C15002B_011,9,C15002B_001,97,0.17525773195876287
2016,"Portsmouth city, Virginia",C15002B_006,1801,C15002B_011,3603,C15002B_001,31907,0.16936722349327735
2016,"Suffolk city, Virginia",C15002B_006,1827,C15002B_011,2894,C15002B_001,23325,0.20240085744908895
2016,"Virginia Beach city, Virginia",C15002B_006,5301,C15002B_011,8146,C15002B_001,53925,0.24936485859990729
2016,"Williamsburg city, Virginia",C15002B_006,155,C15002B_011,222,C15002B_001,1229,0.306753458096013
