NAME,variable,Male,variable,Female,variable,Total,BlackGeneral
"Gloucester County, Virginia",C15002B_006,205,C15002B_006,318,C15002B_006,2482,0.21071716357775988
"Isle of Wight County, Virginia",C15002B_006,294,C15002B_006,625,C15002B_006,5872,0.15650544959128065
"James City County, Virginia",C15002B_006,705,C15002B_006,952,C15002B_006,6554,0.25282270369240156
"Mathews County, Virginia",C15002B_006,0,C15002B_006,0,C15002B_006,661,0
"Southampton County, Virginia",C15002B_006,268,C15002B_006,445,C15002B_006,4393,0.16230366492146597
"York County, Virginia",C15002B_006,960,C15002B_006,1175,C15002B_006,6138,0.34783317041381556
"Chesapeake city, Virginia",C15002B_006,4616,C15002B_006,8672,C15002B_006,47374,0.28049140878963147
"Franklin city, Virginia",C15002B_006,116,C15002B_006,288,C15002B_006,2964,0.13630229419703105
"Hampton city, Virginia",C15002B_006,4009,C15002B_006,7243,C15002B_006,43856,0.256566946369938
"Newport News city, Virginia",C15002B_006,3079,C15002B_006,5646,C15002B_006,46087,0.18931585913598195
"Norfolk city, Virginia",C15002B_006,3832,C15002B_006,5525,C15002B_006,60350,0.15504556752278376
"Poquoson city, Virginia",C15002B_006,0,C15002B_006,10,C15002B_006,103,0.0970873786407767
"Portsmouth city, Virginia",C15002B_006,1971,C15002B_006,3988,C15002B_006,32391,0.18397085610200364
"Suffolk city, Virginia",C15002B_006,2119,C15002B_006,3461,C15002B_006,24329,0.22935591269678163
"Virginia Beach city, Virginia",C15002B_006,5524,C15002B_006,9169,C15002B_006,55744,0.26357993685419057
"Williamsburg city, Virginia",C15002B_006,159,C15002B_006,49,C15002B_006,1211,0.1717588769611891
