NAME,variable,Male,variable,Female,variable,Total,BlackGeneral
"Gloucester County, Virginia",C15002B_006,161,C15002B_006,287,C15002B_006,2413,0.18566100290095316
"Isle of Wight County, Virginia",C15002B_006,341,C15002B_006,571,C15002B_006,5866,0.15547221275144904
"James City County, Virginia",C15002B_006,630,C15002B_006,884,C15002B_006,6321,0.23951906343932922
"Mathews County, Virginia",C15002B_006,6,C15002B_006,60,C15002B_006,785,0.0840764331210191
"Southampton County, Virginia",C15002B_006,149,C15002B_006,458,C15002B_006,4486,0.135309852875613
"York County, Virginia",C15002B_006,774,C15002B_006,1088,C15002B_006,5745,0.32410791993037424
"Chesapeake city, Virginia",C15002B_006,3955,C15002B_006,7831,C15002B_006,45646,0.2582044428865618
"Franklin city, Virginia",C15002B_006,285,C15002B_006,296,C15002B_006,3141,0.18497293855460045
"Hampton city, Virginia",C15002B_006,3697,C15002B_006,6562,C15002B_006,43339,0.23671519878169778
"Newport News city, Virginia",C15002B_006,2717,C15002B_006,5213,C15002B_006,44845,0.17683130783810905
"Norfolk city, Virginia",C15002B_006,3829,C15002B_006,5206,C15002B_006,60468,0.14941787391678243
"Poquoson city, Virginia",C15002B_006,8,C15002B_006,15,C15002B_006,97,0.23711340206185566
"Portsmouth city, Virginia",C15002B_006,2056,C15002B_006,3629,C15002B_006,32025,0.1775175644028103
"Suffolk city, Virginia",C15002B_006,1919,C15002B_006,3200,C15002B_006,23621,0.216713940984717
"Virginia Beach city, Virginia",C15002B_006,5285,C15002B_006,8450,C15002B_006,54367,0.25263487041771665
"Williamsburg city, Virginia",C15002B_006,143,C15002B_006,180,C15002B_006,1306,0.2473200612557427
